"logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
3.51840408659414,1.75920204329707,796.479701281385,2.65234165266568e-12,4.55714285543843e-08,14.9070892109566,"ACE"
9.52216910559298,4.76108455279649,747.856319523517,3.4795877038693e-12,4.55714285543843e-08,14.8862471708276,"H4C3"
2.59908711786301,6.29822472973585,735.653104114852,3.73526093995117e-12,4.55714285543843e-08,14.8803866314932,"STK40"
-3.93974610335828,1.96987305167914,-342.614757549626,1.00589376135343e-10,7.8539527999e-07,14.296613424415,"ENSG00000260581"
4.81352120814352,2.40676060407176,328.98136259716,1.19825869255447e-10,7.8539527999e-07,14.240596268108,"TNFSF14"
-6.06293784563468,3.03146892281734,-323.54338677231,1.2874980683424e-10,7.8539527999e-07,14.2166161300627,"DAPL1"
4.85627873441599,4.84658057373464,249.940239161281,3.91587232268841e-10,1.8387166062932e-06,13.765286051783,"MAP1B"
-4.3521411315335,10.95195645127,-243.225871622608,4.40345950818754e-10,1.8387166062932e-06,13.7082900640844,"KRT6B"
7.25401099778042,3.62700549889021,241.739765913376,4.52131074468971e-10,1.8387166062932e-06,13.6952025751634,"ENSG00000262533"
-2.36884330156722,9.80989861903026,-220.579954359355,6.70968588952046e-10,2.45581213242338e-06,13.4880424391709,"FGFBP1"
6.19453237050269,3.20228967011963,208.471128225918,8.55792986529908e-10,2.67808047749795e-06,13.3494196033491,"LUCAT1"
2.56200596454438,3.60855718701779,207.233567526614,8.78035182917828e-10,2.67808047749795e-06,13.334309879139,"BAIAP2L2"
-5.39566418958258,8.40347059994876,-196.577074256192,1.10233369746645e-09,3.1035781277669e-06,13.1962270862381,"KRT6C"
5.96153236290948,8.72953994183407,192.664632185216,1.2020902672885e-09,3.14269327664473e-06,13.1417001045574,"EGR1"
3.15602455306523,8.80421555693917,179.1079221548,1.6462116840338e-09,4.01686625648808e-06,12.9348200156884,"SRXN1"
-1.68262802896649,6.78162140018319,-174.293713013352,1.85130079486321e-09,4.07635180142967e-06,12.8539720541908,"PYGL"
-4.75749973695037,12.4357979581406,-169.88823939803,2.06722778862784e-09,4.07635180142967e-06,12.7762429611638,"KRT6A"
2.26822837572452,7.73220849756143,166.986879354576,2.22651222727721e-09,4.07635180142967e-06,12.7229878343821,"VASP"
-1.88278100690601,1.20578299907519,-166.976658467709,2.22709957384744e-09,4.07635180142967e-06,12.722797232518,"ALDH5A1"
-4.3421877129569,3.02807043710989,-166.970496140788,2.22745378619692e-09,4.07635180142967e-06,12.7226823054808,"GPX2"
1.66091243652204,6.22427458217336,162.104236227706,2.5302372467243e-09,4.40996254606458e-06,12.6294532813502,"UBE2I"
2.44936811302126,5.46552914849548,158.325946177984,2.80089179150778e-09,4.6597927482262e-06,12.5535205286076,"FNIP1"
-1.8422796150238,8.27024651482781,-154.059260991061,3.15079725941845e-09,5.01401436921629e-06,12.4638121651325,"RPL32"
1.92585903706701,5.27694263877893,152.373542513181,3.30377283822381e-09,5.0383912354929e-06,12.4271571890029,"FBXL3"
2.06602496092249,5.88540568985498,147.971953623694,3.74856255765781e-09,5.48804552691335e-06,12.3280450290956,"ADNP2"
6.90675976054705,3.836023033372,142.784977116163,4.37160142094248e-09,6.05269200455773e-06,12.2045742738133,"FLNC"
3.90989813516948,10.3517744088754,142.086343546028,4.46497866514736e-09,6.05269200455773e-06,12.1873636521951,"DNAJB1"
4.5454913786591,8.95926801754026,138.575686655802,4.97321412268573e-09,6.27574802180671e-06,12.0986937805555,"HSPA1B"
1.65419480146833,6.28623075155162,137.597436852409,5.12736614184854e-09,6.27574802180671e-06,12.0733189237663,"CASP3"
-2.29830389720178,1.14915194860089,-137.494573305347,5.14391521144781e-09,6.27574802180671e-06,12.0706334566972,"CD86"
-1.98277682574848,12.1586591157878,-135.639806261406,5.45392669596905e-09,6.4393280967472e-06,12.0216379406379,"S100A11"
-2.5443391221653,10.6245320740562,-132.177950597449,6.09662771490884e-09,6.93483332196119e-06,11.9272023745212,"PERP"
-1.78507920547775,9.43820965908729,-131.405544660793,6.25254773434385e-09,6.93483332196119e-06,11.9055841143485,"RPS8"
2.50633672233918,7.65318650524793,129.752598340505,6.60305949058955e-09,7.06241231221824e-06,11.8586284680357,"PPP1R18"
3.76007699746776,6.97487032228811,129.076029615726,6.75348845462251e-09,7.06241231221824e-06,11.8391322041618,"IL6R"
-4.33251173928575,11.9917007420765,-127.248660833963,7.18140934123789e-09,7.301298980518e-06,11.7856523978095,"KRT5"
1.71418625854302,8.40959809609808,122.56689919227,8.44025754092402e-09,8.04484049017111e-06,11.6429461267733,"STIP1"
4.22939028855,7.39889406669341,121.661358434738,8.71428860347996e-09,8.04484049017111e-06,11.6143604642219,"DNAJA4"
4.43460884021363,9.17840124978255,121.482200649032,8.76979677715638e-09,8.04484049017111e-06,11.6086659088183,"IER3"
-3.08637143333348,1.54318571666674,-121.411136175823,8.79193518228585e-09,8.04484049017111e-06,11.6064035237963,"RBP1"
3.71446450227053,7.71821000189839,120.364098175839,9.12623636159491e-09,8.14705797733501e-06,11.5728322489392,"SLC20A1"
-3.16117418921746,8.35964108856834,-119.359564208426,9.46180559915301e-09,8.24551301749046e-06,11.5401995880433,"DSG3"
-2.23117960942428,9.39887096621501,-118.241962854261,9.85319919321373e-09,8.30943232872442e-06,11.5033969392464,"KLK5"
5.46353522687382,6.27433462162723,117.866336466772,9.98920855888841e-09,8.30943232872442e-06,11.4909083541322,"CLU"
-2.36551535846268,9.77148707893752,-116.922609477492,1.03412630344182e-08,8.41112374050534e-06,11.4592636382349,"RPS18"
5.07295491908295,2.53647745954147,115.777940148838,1.0789037680319e-08,8.58455582907297e-06,11.4203585935397,"LINC01807"
2.56373235768492,9.66330020572514,114.527524635532,1.13058065964848e-08,8.69892897673436e-06,11.3771922940431,"ATF4"
-2.05802415862865,8.18595979547943,-114.288303600246,1.14081197476367e-08,8.69892897673436e-06,11.3688534101085,"RPS3"
1.27546460156466,3.74259467954609,113.345779612518,1.18225007300921e-08,8.83092549432857e-06,11.3357429378869,"RERE"
0.834531541007974,7.08968540949957,110.841551232008,1.30170763864051e-08,9.52876025637628e-06,11.2457470082791,"SF3B1"
1.84532323102591,8.58793919840397,109.668949797418,1.36274226708249e-08,9.77994700342867e-06,11.2025678395867,"BAG3"
-3.54869307507278,12.6881645737135,-107.897894903434,1.46176372883571e-08,1.01337675237901e-05,11.1360540756491,"SPRR1B"
2.6069358528338,6.06874079584349,107.801252198621,1.4674180453017e-08,1.01337675237901e-05,11.1323788076623,"NUP58"
-2.00353313440437,8.56299360576549,-107.301079855102,1.49711624923505e-08,1.01473984885652e-05,11.1132807727881,"TUBA4A"
-2.76796424990948,11.6089444671975,-106.165762056639,1.567322678469e-08,1.04301049735716e-05,11.0694484794229,"KRTDAP"
2.73671982006612,6.37940847240685,105.460184253233,1.61300284723566e-08,1.05041406027337e-05,11.0418651122176,"PNMA1"
-2.57879929980779,9.12008183346235,-104.708013555946,1.66351971811467e-08,1.05041406027337e-05,11.0121665243839,"SCD"
7.71887030421103,3.85943515210551,104.69303842204,1.66454510794393e-08,1.05041406027337e-05,11.0115721426408,"H4C6"
2.92740924168974,1.46370462084487,103.744321243448,1.73112421702327e-08,1.06499324960789e-05,10.9736665308,"ENSG00000269971"
1.20356588699081,5.26499705635341,103.06715924178,1.78066014313608e-08,1.06499324960789e-05,10.9463068177773,"ASXL2"
2.13157375185541,4.84601680925516,102.690379266191,1.80897892513892e-08,1.06499324960789e-05,10.9309725611745,"GGA2"
2.10291350341763,4.87589706181982,102.378446443054,1.83284459888209e-08,1.06499324960789e-05,10.9182168791156,"CRAMP1"
4.09982128494212,6.14409023445995,102.374681450593,1.8331350161279e-08,1.06499324960789e-05,10.9180625828573,"TSPYL2"
-0.804498305694434,9.60605096262612,-101.862826757015,1.87315087725785e-08,1.07123742591429e-05,10.8970106924502,"RPL27"
3.17604400994191,2.19578563339345,100.207276289522,2.01016562432553e-08,1.13190880024521e-05,10.8278840984118,"HIC1"
2.9168133548052,1.4584066774026,98.3688081218387,2.17709414027618e-08,1.17533270996673e-05,10.7492166115363,"KCNV1"
1.97590073403661,4.44157963138036,98.3401984375156,2.17982408863342e-08,1.17533270996673e-05,10.7479762200581,"CHST3"
2.37685807011765,6.94424806894215,97.8337766048209,2.2288524854833e-08,1.17533270996673e-05,10.7259365563755,"ACIN1"
3.13598781247071,6.91589715609291,97.6850227553584,2.24351132575649e-08,1.17533270996673e-05,10.7194325948087,"SERPINH1"
4.3186641636719,7.78077915870774,97.6412984685654,2.24784267363381e-08,1.17533270996673e-05,10.7175182240426,"TXNRD1"
2.60825257082621,1.3041262854131,96.0113224009812,2.41692123184484e-08,1.21582207903934e-05,10.6452954627133,"ENSG00000273361"
2.16260096043902,10.815490451611,96.0100892698992,2.41705496599027e-08,1.21582207903934e-05,10.6452401841679,"SAT1"
2.39247869259864,7.58860915955904,95.4398054849555,2.47989203661878e-08,1.21582207903934e-05,10.6195704464394,"EIF5"
-1.61170727260661,8.86226095094275,-95.2350122409479,2.50294740354814e-08,1.21582207903934e-05,10.610300759205,"RPL3"
1.96080406460546,6.47444043443845,94.6961442569793,2.56488616012494e-08,1.21582207903934e-05,10.585778486223,"NXF1"
1.8786309094358,7.43781157000884,94.5128990742338,2.58637808028873e-08,1.21582207903934e-05,10.5773959673817,"PPP2CB"
0.985094487835114,7.25984052042698,94.2512050556602,2.61745695516135e-08,1.21582207903934e-05,10.5653862175027,"SRSF9"
9.19533803017023,5.78722390330562,94.091794566935,2.63661419852162e-08,1.21582207903934e-05,10.5580481509311,"HSPA6"
-3.49355902552018,6.09041253293152,-93.7446447283791,2.67893433344884e-08,1.21582207903934e-05,10.5420091208481,"MPZL2"
5.39907735198519,2.89887300318429,93.317753736196,2.73212910120371e-08,1.21582207903934e-05,10.5221746017172,"MEG3"
2.71870689689955,4.41906004406134,93.1020623699488,2.75950109057333e-08,1.21582207903934e-05,10.5121059965761,"RAD54L2"
3.03192534825797,7.26359690948552,92.8285696360611,2.79469580609592e-08,1.21582207903934e-05,10.4992935366851,"DUSP5"
-1.23306638231161,5.18482870379716,-92.7488583139567,2.80505746833694e-08,1.21582207903934e-05,10.4955496132765,"PRRG4"
2.42633619792746,7.99005070802248,92.5892093417851,2.82595291274469e-08,1.21582207903934e-05,10.4880379992191,"MAT2A"
-0.991185869834137,0.495592934917069,-92.5585117806218,2.82999267635292e-08,1.21582207903934e-05,10.4865916414865,"RORC"
4.71026636402115,3.46744054637999,92.0782366630126,2.89413255735567e-08,1.21582207903934e-05,10.4638779034638,"MMP1"
3.05070645482491,7.8370253737466,91.8485900088734,2.92543401575123e-08,1.21582207903934e-05,10.4529604794218,"FOSL1"
2.50294345752955,5.34106728310382,91.6426239241367,2.95386321445937e-08,1.21582207903934e-05,10.4431374269045,"RYBP"
1.2901507381443,5.56866669264072,91.6241735766982,2.95642646470044e-08,1.21582207903934e-05,10.4422560284581,"PPP6R2"
1.93969564852675,6.39974597712232,90.4451643854368,3.12606091240088e-08,1.23574369515594e-05,10.3854324965925,"YTHDF3"
1.62703215938673,6.43412778236459,90.0956129389137,3.17864409169083e-08,1.23574369515594e-05,10.368393969408,"STX3"
2.60116372607318,5.80131576060646,90.0848687101382,3.18027754226277e-08,1.23574369515594e-05,10.3678688501143,"B4GALT5"
-1.98537556247196,8.12058200338957,-89.5601646753054,3.26132233599586e-08,1.23574369515594e-05,10.3421217221974,"DHCR24"
1.56223262430145,10.8652731043587,89.4908915741875,3.27221133783758e-08,1.23574369515594e-05,10.3387074342855,"ANXA1"
-3.57768188825115,2.94908662440053,-89.4643687215214,3.27639230521168e-08,1.23574369515594e-05,10.3373992583601,"PTPRZ1"
6.7448185111596,4.36930853083171,89.3773211713872,3.29016049175075e-08,1.23574369515594e-05,10.3331022057697,"IL1RL1"
2.64709406532401,5.37369568016208,89.0808080126181,3.3375976361002e-08,1.23574369515594e-05,10.318422987438,"AGO2"
